Squad,#,90s,GA,GA90,SoTA,Saves,Save%,W,D,L,CS,CS%,PKatt,PKA,PKsv,PKm,Save%
Arsenal,,38,48,1.26,147,100,70.7,22,3,13,13,34.2,6,5,0,1,0
Aston Villa,,38,54,1.42,149,96,66.4,13,6,19,11,28.9,6,4,1,1,20
Brentford,,38,56,1.47,179,125,71.5,13,7,18,9,23.7,5,5,0,0,0
Brighton,,38,44,1.16,146,102,71.9,12,14,11,11,28.9,4,3,0,1,0
Burnley,,38,53,1.39,178,127,73,7,14,17,9,23.7,5,5,0,0,0
Chelsea,,38,33,0.87,115,83,76.5,21,11,6,16,42.1,6,6,0,0,0
Crystal Palace,,38,46,1.21,144,99,70.1,11,15,11,12,31.6,4,3,1,0,25
Everton,,38,66,1.74,188,127,66,11,6,21,8,21.1,2,2,0,0,0
Leeds United,,38,79,2.08,224,146,67,8,11,18,5,13.2,5,5,0,0,0
Leicester City,,38,59,1.55,192,132,72.9,14,10,14,7,18.4,9,7,2,0,22.2
Liverpool,,38,26,0.68,107,82,75.7,28,8,2,21,55.3,0,0,0,,0
Manchester City,,38,26,0.68,85,59,70.6,29,6,3,21,55.3,1,1,0,0,0
Manchester Utd,,38,57,1.5,180,124,70,16,10,12,8,21.1,5,3,2,0,40
Newcastle Utd,,38,62,1.63,165,104,65.5,13,10,15,8,21.1,6,5,1,0,16.7
Norwich City,,38,84,2.21,222,139,66.2,5,7,26,6,15.8,12,9,1,2,10
Southampton,,38,67,1.76,183,118,64.5,9,13,16,8,21.1,2,2,0,0,0
Tottenham,,38,40,1.05,137,98,72.3,22,5,11,16,42.1,2,2,0,0,0
Watford,,38,77,2.03,188,113,62.2,6,5,27,4,10.5,7,6,1,0,14.3
West Ham,,38,51,1.34,165,113,70.3,16,8,14,8,21.1,6,2,3,1,60
Wolves,,38,43,1.13,167,125,79.6,15,6,16,11,28.9,10,9,0,1,0